196,194,287,201,289,267,196,263
291,207,419,211,420,271,294,266
425,220,471,220,472,273,425,271
475,219,561,219,562,275,477,274
567,224,642,228,644,279,567,277
647,228,751,229,756,282,649,281
319,304,443,309,445,370,323,365
452,308,517,310,513,365,454,366
527,319,637,323,639,366,523,371
651,323,724,320,723,370,649,366
285,377,414,383,415,427,288,429
423,375,501,378,498,427,423,429
507,390,590,392,595,442,504,442
599,384,744,388,745,448,602,445
765,305,785,305,788,336,764,337
786,307,800,309,799,332,789,331
763,376,799,375,799,408,766,407
779,414,799,413,799,438,783,438
